SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,STINDIA,STI India Ltd, ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,JINDALPOLY,Jindal Poly Films Limited, ,22/09/2015,29/09/2015,18/09/2015, , ,DIV-RE 1 PER SHARE       
EQ,DALALSTCOM,DSJ Communications Ltd., ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BHARATRAS,Bharat Rasayan Ltd, ,21/09/2015,28/09/2015,16/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,AGRODUTCH,Agro Dutch Industries Ltd, ,29/09/2015,30/09/2015,24/09/2015, , ,ANNUAL GENERAL MEEETING  
EQ,ARENTERP,Rajdharshan Inds Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,DHARSUGAR,Dharani Sugars & Chem , ,22/09/2015,28/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BANARISUG,Bannari Amman Sugars , ,19/09/2015,23/09/2015,16/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,TAINWALCHM,Tainwala Chem & Plastics , ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BPL,BPL Ltd., ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MANGTIMBER,Mangalam Timber Pro Ltd, ,05/09/2015,11/09/2015,03/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ORCHIDCHEM,Orchid Chemicals Ltd., ,11/09/2015,15/09/2015,09/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,OSWALAGRO,Oswal Agro Mills Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,ASHIMASYN,Ashima Limited, ,12/09/2015,18/09/2015,10/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,POLYPLEX,Polyplex Corporation Ltd., ,19/09/2015,28/09/2015,16/09/2015, , ,AGM/DIV-RS 2.50 PER SHARE
EQ,MODIRUBBER,Modi Rubber Ltd., ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BAJAJHIND,Bajaj Hindustan Sugar Ltd, ,08/09/2015,14/09/2015,04/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,SANDESH,Sandesh Ltd, ,26/09/2015,30/09/2015,23/09/2015, , ,AGM/DIV RS 4/- PER SHARE 
EQ,MONNETISPA,Monnet Ispat & Energy ltd, ,23/09/2015,30/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RAMGOPOLY,Ramgopal Polytex Ltd, ,22/09/2015,30/09/2015,18/09/2015, , ,ANNUAL GENERAL MEETING   
